,Unnamed: 0,Unnamed: 0.1,ID,tweet_id,text,missing_text,Text_Only_Informative,Image_Only_Informative,Directed_Hate,Generalized_Hate,Sarcasm,Allegation,Justification,Refutation,Support,Oppose
33,33,33,33,1.05081e+18,"No Bucky people are pissed off at ashleyperkins for attacking the credibility of an assault survivor AFTER THE ATTACKER THOMAS RAVENEL WAS ARRESTED AS THE RESULT OF A FOUR MONTH POLICE INVESTIGATION
The only people questioning the  movement are men and rape enablers 
",0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
34,34,34,34,1.05059e+18,"The  movement has led to a rise in public awareness around sexualharassment in the workplace But does your inhouselegal team know how to respond appropriately to sexual harassment allegations Download this free PracticalLaw toolkit gt 
",0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
35,35,35,35,1.0505e+18,"RNcat VoteTrumpPics jamieleecurtis  Just bought this beauty today A 
",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,36,36,36,1.05049e+18,"AmyMek Horrifying Amazing hypocrisy of the lefties TomiLahren foxandfriends  
",0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
37,37,37,37,1.05033e+18,"Brocklesnitch Sex Pest allegations 

auspol ARIAs  BillKavanaugh BrettShorten Trump AlanJones aclennell ABCaustralia RNBreakfast billshortenmp kochieonline sunriseon karlstefanovic TheTodayShow AWNeilMitchell Bowenchris AngusTaylorMP SkyNewsAust KieranGilbert 
",0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,38,38,38,1.0502e+18,"BDimyon Transgendertrd MoJGovUK BBCRealityCheck Would love to respond but your recent tweets are quite incomprehensible You bounce from crime to  with a pit stop at cancer  ‍ 
",0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
39,39,39,39,1.0502e+18,"For the men who r asking y not then y now u guys will still doubt her amp harrass her even more for y she shared her story immediately no matter what 
When your sister will tell her childhood story to u one day i challenge u guys to ask y not then y now  Chinmayi 
",0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
40,40,40,40,1.05019e+18,"Hello Perth  this will be most excellent  ustoo 
",0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,41,41,41,1.05019e+18,"Why they put Quincy in with those addle pated felonious  booty seekers   Man or woman should never have to say     Empire EmpireFOX 
",0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
42,42,42,42,1.05018e+18,"Better late than never We finally review Crazy Rich Asians and talk The Good Place Bojack Horseman the Captain Marvel trailer and the recent returns of certain  perpetrators 
",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,44,44,44,1.05018e+18,"Surprised ultra  moralistic jackietrad would share a press conference with billshortenmp after she slammed YoungLibs for posting support of BrettKavanaugh nomination considering Shorten faced similar Sexual Assault allegation

auspol qldpol couriermail NewsTalkBC 
",0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
45,45,45,45,1.05017e+18," australian Note to Bowenchris 

don’t count your  before they 

Like BrettKavanaugh your leader billshortenmp also has a similar  controversy that hasn’t gone away

OutlookConf auspol emilyslist SquigglyRick 
",0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,46,46,46,1.05015e+18,"lyncsmith pamela billshortenmp SharriMarkson SkyNewsAust DavidLeyonhjelm theboltreport PMOnAir Greens chriskkenny KieranGilbert ljayes ScottMorrisonMP RealMarkLatham theheraldsun dailytelegraph AlanJones All Sarah Hanson Young has done is added another  front to the billshortenmp historical SexualAssault allegation that many on the LEFT are too blind to see is very similar to the allegations about BrettKavanuagh who they are currently eager to attack

auspol 
",0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
47,47,47,47,1.04999e+18,"Powerful men have changed their behaviour at work since  
",0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
48,48,48,48,1.04998e+18," comes to Bollywood 
",0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
49,49,49,49,1.04997e+18,"Taxidermy DeathsHead Moth by Oddity Asylum taxidermy halloween gothic black deathsheadmoth aussie SpiderManPS⁠ ⁠ tattoo art TheBlockau butterfly moth spider Fortnite HardQuiz KeliLane oufc Pixel ISPR eTalk QandA UFC news ⁠ ⁠ AMAs⁠ ⁠ oufc 
",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,50,50,50,1.04997e+18,"Taxidermy DeathsHead Moth by Oddity Asylum taxidermy halloween gothic black deathsheadmoth aussie SpiderManPS⁠ ⁠ tattoo art TheBlockau butterfly moth spider Fortnite HardQuiz KeliLane oufc Pixel ISPR eTalk QandA UFC news ⁠ ⁠ AMAs⁠ ⁠ oufc 
",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,51,51,51,1.04997e+18,"Taxidermy DeathsHead Moth by Oddity Asylum taxidermy halloween gothic black deathsheadmoth aussie SpiderManPS⁠ ⁠ tattoo art TheBlockau butterfly moth spider Fortnite HardQuiz KeliLane oufc Pixel ISPR eTalk QandA UFC news ⁠ ⁠ AMAs⁠ ⁠ oufc 
",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,52,52,52,1.04993e+18,"If Sarah Hanson Young thinks BrettKavanuagh is unfit for office it’s hypocritical if she does not also think billshortenmp who faced a similar allegation is not also unfit for office

auspol sharrimarkson  SharriMarkson SkyNewsAust DavidLeyonhjelm theboltreport 
",0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
53,53,53,53,1.04993e+18,"Will SharriMarkson raise the  issue of the woman who alleged she was Sexually Assaulted by billshortenmp with Sarah Hanson Young 

auspol sharrimarkson BrettKavanuagh SkyNewsAust theboltreport GB 
",0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
56,56,56,56,1.04988e+18,"  The war is coming 
",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,57,57,57,1.04982e+18,"Hey JackieTrad are you going to admonish RichardMarlesMP in a tweet for supporting billshortenmp about a rape allegation like you admonished the YoungLibs for supporting the BrettKavanaugh

 

auspol  qldpol couriermail NewsTalkBC GB 
",0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
58,58,58,58,1.04982e+18,"Im sure Patriots in Tennessee LOVEthat she hangsout wperv Harvey

TaylorSwiftClassicDemocrat
Endorse a D man accused of sexual misconduct instead of a strong R woman whod be st female TN Senator
bc dems are so seriousabout 

RedTsunami 
",0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
59,59,59,59,1.04981e+18,"An uneasy silence had descended over the bar but then some dude cracked a ´blondé joke  kavanaugh harveyweinstein 
",0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
60,60,60,60,1.0498e+18,"If Labor win Government what a Quinella 

Prime Minister  accused of historic rape allegation

Deputy PM  married to convicted drug trafficker

auspol  Everest Kavanaugh AnnCoulter theboltreport JCCampbell tomwconnell sunriseon annelisenews couriermail 
",0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
61,61,61,61,1.04978e+18,"theeverest promo in Martin Place with usual balance of genders in the models As my daughter once asked about NRL cheerleaders “where’s the boys” I’ll wait auspol  
",0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
62,62,62,62,1.04963e+18,"Well done AnnCoulter 

Welcome to Australia before you get here

Land down under where our local  and EmilysList feminists slam BrettKavanaugh over a sexual assault allegation yet IGNORE a similar allegation against the LEFT WING ALTERNATIVE auspol PM billshortenmp 
",0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
63,63,63,63,1.0496e+18,"Mate sent me this photo Im sure most of my followers might get this guy FalseAllegations  police MenToo liar 
",0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
64,64,64,64,1.0496e+18,"Life comes at u quickwoman so indoctrinated by internalized misogynyamp so desperate for male approval she tries to subvert  to feign fear about her sons minuscule risk of facing false accusations while making her son face her FALSE ACCUSATIONS about his dating habits 
",0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
65,65,65,65,1.04958e+18,"MillyMolly Jillpol billshortenmp sunriseon SkyNewsAust AlanJones ljayes Whatever

But glaring example in hypocrisy why emilyslist type females like jackietrad and JaneCaro are so willing to listen to the accuser of BrettKavanaugh yet ignore the accuser of billshortenmp 

 bias at its worst in the Left Wing of Auspol politics 
",0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
66,66,66,66,1.04956e+18,"hopefully the HimToo movement will encourage boys to keep their dicks in their pants out of fear that their mom will want to tag along on all of their dates  
",0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
67,67,67,67,1.04955e+18,"This post is red hot on thedonald subreddit right now  words FUCKING DISGUSTING The comments supporting this are vile amp proof of the degenerate minds who are Pro Trump Im not a Schumer fan nor a feminist but this is an absolute new low  dumptrump Trump pousa  
",0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
68,68,68,68,1.04955e+18,"Ann Widdecombe believes the  movement is ‘Trivial whinging’ 
",0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
70,70,70,70,1.04951e+18,"Asked whether  is losing influence in the face of Kavanaugh and Trump  Ed responded with an emphatic no and compares the movment to BlackLivesMatters 
Full ep 
ChristineBlaseyFord BelieveWomen 
",0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
71,71,71,71,1.0495e+18,"Nough said WhyIDidntReport ChristineBlaseyFordWeStandWithYou RiseUp Resist NoMeansNo  BelieveSurvivors 
",0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,72,72,72,1.0495e+18," Ten Most Powerful Comments On Social Media 
",0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
73,73,73,73,1.04949e+18,"The sad reality of Trump’s America  even in the  era  Trump KavanaughConfirmed 
",0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
74,74,74,74,1.04946e+18,"Rich for Queensland Labor Treasurer JackieTrad to use a photo of BrettKavanaugh to say LiberalAus and TheNationals have a problem with women

When BillShortenMP like Kavanaugh was accused of Sexual Assault 

auspol qldpol  couriermail JCCampbell tomwconnell 
",0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
76,76,76,76,1.04945e+18,"RealJamesWoods Twitter TwitterSupport Have you been Shadow Banned
ShadowBanned 
 
",0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
77,77,77,77,1.04945e+18,"bert Kate emilyslist billshortenmp RitaPanahi SharriMarkson JCCampbell Not here to judge Shorten

Hypocrisy QLD Labor Treasurer jackietrad calls out BrettKavanaugh in a tweet but not billshortenmp 

Shows  and emilyslist in Australia are nothing more than political tools ignoring Left Wing misogyny 

auspol qldpol couriermail triplej 
",0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
78,78,78,78,1.04945e+18,"Even tho rosemcgowan is an utter fruitloop I fully agree with her here
All these Hollywood twats that have jumped on the  movement like a maggot onto a rotting corpse
are hypocrites of the highest 
“We didn’t know”
BullFuckingShit 
",0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
79,79,79,79,1.04944e+18,"JoeABCNews abcnews What happened to the  movement in Australia 

How are historical sexual assault allegation against BrettKavanaugh and more significant than similar allegations against billshortenmp 

auspol abcnews KavanaughConfirmation BillShorten 
",0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
80,80,80,80,1.04934e+18," Rose McGowan Says She Was Slamming Hollywood Not The  Movement 
",0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
81,81,81,81,1.04928e+18,"To All you screeching Liberal Lunitics  why don’t you have anything to say about these Pillars of Society”   Where is  now 
",0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
82,82,82,82,1.04922e+18,"usqedu Women’s Network member and Associate Director Health and Wellness Julie McKenzie speaking about the University’s commitment to the 
",0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
83,83,83,83,1.04918e+18,"“I stand with cabin crew in their fight against shocking sexual harassment in the workplace I commend the TWU for exposing these shocking stats We must work together so others like Hannah can work free of harassment”  MichMyersMUA ITFAPAC Womens Rep cabincrewtoo  
",0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
84,84,84,84,1.04907e+18,"Sexual harassment is rampant in the airline industry with two thirds of flight attendants experiencing abuse  movement is now airborne 
",0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
85,85,85,85,1.04903e+18," movement now airborne as two thirds of flight attendants say they have been the subject of sexual harassment 
cabincrewtwo 
",0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,86,86,86,1.04893e+18,"The Experience Project 

The Experience Project is an online community where people can share personal stories and experiences and connect with others 
",0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
87,87,87,87,1.04893e+18,"Experience Project
 Shutting Down


",0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
88,88,88,88,1.04892e+18,"Millions and Millions of people who counted on this support system were left devastated when they shut the site down
We exchanged our phone numbers and email addresses with hundreds and hundreds of people to continue supporting one another 
 
",0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
89,89,89,89,1.04891e+18,"Me Too The Experience Project was a free social networking website consisting of various online communities It operated from  until  when it announced it would suspend new registrations indefinitely
 
",0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
90,90,90,90,1.04889e+18,"SenJohnKennedy Where were these  Kavanaugh rioters deplorables when Hillary let Benghazi Ambassador and  soldiers be tortured and killed OH WAIT THEY WERE MEN SheriffClarke DrMartyFox PamelaGeller PrisonPlanet foxnewsalert BristolComSense OutsidersWGN mirnaDestiny 
",0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
91,91,91,91,1.04886e+18,"Chinese the most famous host Zhu Jun has been charged by sexual harrasmentThe victim Xianzi is so brave to fight for personal rights and expose her selfieBecasu she thinks she is not only an ID and all of things she said are true ibeliveher 
",0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
92,92,92,92,1.04884e+18,"WhyIDidntReport ChristineBlaseyFordWeStandWithYou RiseUp Resist NoMeansNo  BelieveSurvivors
When Dr Ford made the cover of Time but realDonaldTrump did not Time Magazine Cover Illustration Designed by John Mavroudis  Moonalice Posters 
",0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
93,93,93,93,1.04877e+18,"Pity the  Kavanaugh deplorablesrioters werent vocal when  Democrat Hillary let an Ambassador in Benghazi and staff be tortured and murdered POTUS SebGorka SheriffClarke CarlaChamorros DrMartyFox seanhannity TuckerCarlson mirandadevine foxandfriends CNN WSJ 
",0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,94,94,94,1.04876e+18,"Feminism Feminists  TimesUp auspol USPolitics KavanaughConfirmed MGTOW feminist SexualAssault  What do you think Is this a true story Yes or No Fell free yo give your thoughts on why 
",0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
95,95,95,95,1.04875e+18,"Ces Drilon failed the  “movement” 
",0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
96,96,96,96,1.04869e+18,"dailytelegraph’s pwafork says the allegations against Brett Kavanaugh damaged the  movement

‘A lot of American’s saw this as a lastditch effort to derail a justice who was going to sail through the confirmation process’

MORE 
",0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
97,97,97,97,1.04869e+18,"I wonder if DavidSpeers SkyNewsAust sees any issue  with this discussion of the  movement and alleged sexual abuse against women  auspol 
",0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
98,98,98,98,1.04867e+18,"Wtaf America I have nothing Kavanaugh KavaNOPE  
",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,99,99,99,1.04866e+18,"uspoli realDonaldTrump scotus vs  by John Darkow   auspol  SenatorCollins JeffFlake JoeManchinWV
",0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,100,100,100,1.04865e+18,"uspoli realdonaldtrump Kavanaugh  Bombed by adamzyglis   auspol  SenatorCollins JeffFlake JoeManchinWV
",0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,101,101,101,1.04864e+18,"Miranda Fricker speaking on ‘Knowing Notknowing and Halfknowing’ at  and Epistemic Justice ⁦⁦CUNY⁩ 
",0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
102,102,102,102,1.04861e+18,"Other ways to heal when you can’t tell your  story 
",0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
103,103,103,103,1.04857e+18,"When we fight we win
 WomenRiseUp revolution 
",0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
104,104,104,104,1.04855e+18,"ChristineBlaseyFord Respect Braver than me Braver than most WeBelieveSurvivors WeAreOne  
",0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
105,105,105,105,1.04851e+18,"mrbromwich Her courage will be remembered WhyIDidntReport ChristineBlaseyFordWeStandWithYou RiseUp Resist NoMeansNo  BelieveSurvivors Triggers 
",0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
106,106,106,106,1.05229e+18,"Loved chatting with AlyssaMilano and TaranaBurke last week  for their great work MVMT JoshSabarra AlyssaMilano TaranaBurke ⁠ ⁠ Tuesday 
",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,107,107,107,1.05229e+18,"via moonbattery  Mania YearOld Accused 
",0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
108,108,108,108,1.05229e+18,"Esquire Is Releasing An Expose On Bryan Singer 
",0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,109,109,109,1.05229e+18,"Hillary Clinton Says her husband’s accusers don’t fit in  narrative

So UmHillaryClinton What kind of Narrative are you talking about Doesnt fit the narrative huh WE the PEOPLE beg to differ on that Outrageous StatementPlenty of Narrative here 
",0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
110,110,110,110,1.05229e+18,"Dont fucking TALK about HillaryClinton Dont keep her apologizing for her husbands mistake BillClinton had CONSENSUAL SEXUAL PLAY with an intern IT was adultery  but CONSENSUAL Its not to be confused with  or with realDonaldTrumps nasty predatory sick LIFE 
",0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
112,112,112,112,1.05228e+18,"One year after  Where do we go from here 
",0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
113,113,113,113,1.05228e+18,"Is Sarah Lucas Right for the  Moment by MARTHA SCHWENDENER via NYT 
",0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
114,114,114,114,1.05228e+18,"Feel like some female vigilante justice Huntress series sale all  books   thriller   resist 
",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,115,115,115,1.05228e+18,"jvn What’s the international numbersI’m not even in USA amp I want to call to stop that scumbag amp have those who aided a coverup of his crimes called out‼Oh waityour President will just stop any consequences or further investigation of those in his Boy’s Club from happening  
",0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,116,116,116,1.05228e+18,"The  movement’s roots in women workers’ rights 
",0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
117,117,117,117,1.05228e+18,"DaysOfMindy

Day  That time I played a zombie in a Fallout Boy video that was told to dance on the guy who agreed to it but later said he hadn’t and pulled a  moment on TV so I got thousands of hate mail comments from his insane emo fans Liar 
",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,119,119,119,1.05228e+18,"taylorswift  nice candidate PhilBredesen kept sexual harassment allegations in the dark protecting his aides and silencing victims TNSen 
",0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
120,120,120,120,1.05228e+18,"Chicago Review has a  Poetry Collective 
We want to thank the writers who have made such personal contributionsWe want to offer our solidarity to them and to any of you wrote editors 
Emily Critchley and ElizabethJane Burnett poetry chireview 
",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,121,121,121,1.05228e+18,"Good day Good vibes BlackLivesMatter believeher  impeachtrump queer woman 
",0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
122,122,122,122,1.05228e+18,"Don’t be afraid to speak out no matter how long it takes  
",0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
123,123,123,123,1.05227e+18,"A year ago this month a tweet helped spark the  Movement How has it affected your life and community 
",0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
124,124,124,124,1.05227e+18,"Anita DeFrantz is a noted activist specifically to promote civil rights and to eliminate sexual harassment Presenting a candid talk about “Race and Gender in Sports in an Age of ”  Free with submitted RSVP at 
",0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
125,125,125,125,1.05227e+18," is celebrating its year anniversary  but has the movement changed anything 
",0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
